Participante;Nones;Pares
1;28;26
2;28;22
3;26;27
4;28;29
5;27;28
6;29;23
7;25;26
8;23;25
9;28;24
10;23;26
11;23;25
12;24;23
13;28;25
14;28;27
15;27;29
16;26;24
17;25;22
18;25;21
19;24;28
20;26;27
